Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-12-03 17:26:00,false,"Tucson Running","3.04","387","00:30:00","149","164","3.1","154","165","9:51","8:00","92","92","1.06","0.0","4,656","75.2","No","00:30:00","1","80.6","00:29:21","00:30:00","2,360","2,427"
Running,2024-12-01 14:27:47,false,"Tucson - Recovery","2.22","271","00:24:03","132","145","2.4","147","161","10:51","9:25","41","51","1.01","0.0","3,586","84.2","No","00:00:02.9","2","89.6","00:22:44","00:24:03","2,395","2,430"
Running,2024-11-25 16:31:28,false,"Tucson Running","1.09","135","00:12:00","121","135","1.9","154","163","11:01","9:51","17","26","0.95","0.0","1,862","75.2","No","00:12:00","1","78.8","00:11:56","00:12:00","2,410","2,427"
Running,2024-11-24 17:18:27,false,"Tucson Running","4.82","596","00:45:01","153","168","3.4","155","167","9:20","7:30","118","127","1.12","0.0","6,990","68.0","No","00:15:42","2","80.6","00:44:25","00:45:01","2,377","2,446"
Running,2024-11-22 12:44:17,false,"Tucson Running","9.66","1,266","01:45:00","153","181","3.8","152","231","10:52","7:51","170","182","0.98","0.0","15,966","77.0","No","00:04:44.0","4","95.0","01:42:28","01:45:00","2,323","2,434"
Running,2024-11-20 15:05:01,false,"Tucson Running","5.29","709","00:55:20","154","174","3.6","140","242","10:28","7:25","83","83","1.10","0.0","7,882","77.0","No","00:23:37","2","84.2","00:50:12","00:55:20","2,352","2,440"
Running,2024-11-18 12:22:53,false,"Tucson Running","3.15","401","00:33:01","143","173","3.0","151","165","10:29","7:36","56","38","1.02","0.0","5,024","69.8","No","00:00:28.2","2","77.0","00:31:48","00:36:33","2,396","2,457"
Running,2024-11-14 12:23:07,false,"Tucson - Recovery","3.03","396","00:31:20","154","175","3.0","153","165","10:21","7:35","57","64","1.01","0.0","4,848","78.8","No","00:07:20.0","2","89.6","00:30:41","00:31:20","2,368","2,428"
Trail Running,2024-11-09 11:51:11,false,"Guaymas Trail Running","5.87","970","01:24:03","153","177","3.6","125","247","14:19","7:13","758","756","0.90","0.0","11,014","80.6","No","00:36:08","2","91.4","01:09:07","01:24:42","12","239"
Trail Running,2024-11-05 15:52:18,false,"Pima County Trail Running","5.75","811","01:10:33","144","168","3.4","126","172","12:16","7:17","224","237","1.04","0.0","9,246","68.0","No","00:34:07","2","84.2","00:56:46","01:10:33","2,516","2,638"
Running,2024-11-04 17:08:09,false,"Tucson Running","3.12","390","00:31:17","142","166","3.0","154","163","10:01","8:43","70","71","1.04","0.0","4,818","66.2","No","00:00:12.0","2","73.4","00:30:39","00:31:17","2,366","2,407"
Running,2024-11-03 10:51:15,false,"Tucson Running","2.17","271","00:25:00","126","150","2.2","139","168","11:33","6:57","82","59","1.00","0.0","3,666","64.4","No","00:25:00","1","78.8","00:22:34","00:33:45","2,392","2,435"
Running,2024-10-31 15:09:18,false,"Tucson - Base","2.70","333","00:25:30","148","164","3.0","156","165","9:26","8:41","58","75","1.09","0.0","4,000","80.6","No","00:25:30","1","86.0","00:25:30","00:25:30","2,391","2,428"
Running,2024-10-29 16:03:27,false,"Tucson Running","3.14","418","00:30:01","160","180","3.5","149","179","9:35","5:42","93","12","1.13","0.0","4,482","71.6","No","00:00:34.8","2","75.2","00:28:30","00:30:03","2,323","2,413"
Running,2024-10-29 15:25:49,false,"Tucson - Base","3.14","384","00:30:02","146","171","3.1","155","169","9:34","6:52","24","95","1.09","0.0","4,710","77.0","No","00:00:01.7","3","80.6","00:29:44","00:30:42","2,329","2,409"
Running,2024-10-28 16:43:43,false,"Tucson - Recovery","2.25","272","00:23:00","133","149","2.5","155","175","10:14","8:56","66","50","1.01","0.0","3,594","82.4","No","00:01:00.4","2","87.8","00:22:54","00:23:32","2,369","2,432"
Running,2024-10-20 06:35:35,false,"Tucson Running","13.17","1,651","01:55:25","163","181","5.0","156","168","8:46","5:56","670","676","1.18","0.0","18,104","51.8","No","00:07:11.5","5","64.4","01:53:27","01:55:25","2,330","2,781"
Running,2024-10-18 17:34:01,false,"Tucson Running","4.33","546","00:47:04","143","166","3.0","149","247","10:52","8:59","115","114","0.99","0.0","7,030","66.2","No","00:14:19","2","78.8","00:46:04","00:47:04","2,323","2,390"
Running,2024-10-12 14:29:15,false,"Tucson Running","3.17","416","00:31:30","159","183","3.3","155","162","9:56","7:55","79","112","1.05","0.0","4,906","84.2","No","00:01:15.1","2","100.4","00:31:25","00:31:30","2,401","2,454"
Running,2024-10-10 16:11:42,false,"Tucson Running","2.11","262","00:21:00","144","179","2.8","153","167","9:58","5:32","61","81","1.06","0.0","3,208","82.4","No","00:21:00","1","95.0","00:20:57","00:21:00","2,406","2,464"
Running,2024-10-07 15:35:02,false,"Tucson Running","7.75","1,016","01:34:20","148","169","3.3","145","229","12:11","8:19","113","125","0.91","0.0","13,814","91.4","No","00:20:29","3","102.2","01:29:01","01:34:34","2,330","2,451"
Running,2024-10-05 12:07:16,false,"Tucson Running","5.07","633","01:00:01","150","183","3.1","145","225","11:50","6:09","134","114","0.94","0.0","5,370","95.0","No","00:24:37","2","104.0","00:58:17","01:00:01","2,342","2,404"
Running,2024-10-02 11:44:02,false,"Tucson Running","3.11","406","00:32:11","149","172","3.1","148","224","10:20","8:19","98","106","1.05","0.0","4,800","86.0","No","00:00:14.8","2","100.4","00:30:44","00:32:11","2,405","2,481"
Running,2024-09-29 14:00:16,false,"Tucson Running","2.66","317","00:32:46","131","146","2.1","153","229","12:20","10:34","91","92","0.85","0.0","5,048","95.0","No","00:32:46","1","105.8","00:32:39","00:33:09","2,408","2,479"
Trail Running,2024-09-21 06:45:59,false,"Stagecoach 100","60.42","7,468","15:06:45","139","175","5.0","127","249","15:01","6:42","3,812","5,099","0.84","0.0","116,868","48.2","No","00:36:39","20","87.8","13:34:36","15:06:45","6,264","8,877"
